STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-01,,,0.00,0.0,0.0,99,74,78,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-02,,,0.00,0.0,0.0,99,72,75,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-03,,,2.38,0.0,0.0,99,72,73,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-04,,,0.06,0.0,0.0,85,70,71,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-05,,,0.00,0.0,0.0,91,68,69,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-06,,,0.00,0.0,0.0,92,69,72,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-07,,,1.19,0.0,0.0,91,72,73,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-08,,,3.94,0.0,0.0,80,73,78,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-09,,,0.05,0.0,0.0,91,77,78,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-10,,,0.00,0.0,0.0,94,75,77,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-11,,,0.00,0.0,0.0,94,75,76,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-12,,,0.00,0.0,0.0,94,74,79,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-13,,,0.00,0.0,0.0,94,73,74,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-14,,,0.00,0.0,0.0,94,73,76,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-15,,,0.00,0.0,0.0,93,71,76,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-16,,,0.00,0.0,0.0,94,68,70,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-17,,,0.00,0.0,0.0,93,70,73,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-18,,,0.61,0.0,0.0,94,68,71,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-19,,,0.09,0.0,0.0,85,71,72,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-20,,,0.22,0.0,0.0,86,67,70,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-21,,,0.02,0.0,0.0,84,69,70,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-22,,,0.01,0.0,0.0,88,70,72,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-23,,,0.06,0.0,0.0,89,72,75,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-24,,,0.01,0.0,0.0,91,72,75,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-25,,,0.00,0.0,0.0,92,69,70,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-26,,,0.00,0.0,0.0,92,69,71,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-27,,,0.00,0.0,0.0,92,54,57,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-28,,,0.00,0.0,0.0,92,51,54,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-29,,,0.00,0.0,0.0,86,54,59,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-09-30,,,0.00,0.0,0.0,90,59,62,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-01,,,0.00,0.0,0.0,88,61,68,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-02,,,0.00,0.0,0.0,87,60,63,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-03,,,0.00,0.0,0.0,85,60,61,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-04,,,0.00,0.0,0.0,79,51,54,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-05,,,0.00,0.0,0.0,77,47,52,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-06,,,0.00,0.0,0.0,80,46,49,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-07,,,0.00,0.0,0.0,82,45,50,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-08,,,0.00,0.0,0.0,85,49,52,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-09,,,0.00,0.0,0.0,85,51,59,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-10,,,0.00,0.0,0.0,86,54,56,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-11,,,0.00,0.0,0.0,87,56,62,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-12,,,0.00,0.0,0.0,86,59,61,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-13,,,0.00,0.0,0.0,88,55,61,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-14,,,0.00,0.0,0.0,88,54,57,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-15,,,0.00,0.0,0.0,88,43,45,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-16,,,0.00,0.0,0.0,88,45,50,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-17,,,0.00,0.0,0.0,84,50,56,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-18,,,0.00,0.0,0.0,86,56,60,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-19,,,0.00,0.0,0.0,86,56,62,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-20,,,0.00,0.0,0.0,87,59,60,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-21,,,0.00,0.0,0.0,87,55,56,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-22,,,0.00,0.0,0.0,88,56,65,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-23,,,0.02,0.0,0.0,88,56,68,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-24,,,0.00,0.0,0.0,88,56,61,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-25,,,0.00,0.0,0.0,88,56,70,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-26,,,0.00,0.0,0.0,91,56,69,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-27,,,0.00,0.0,0.0,86,55,63,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-28,,,0.00,0.0,0.0,89,63,67,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-29,,,0.00,0.0,0.0,78,48,49,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-30,,,0.00,0.0,0.0,74,37,40,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-10-31,,,0.00,0.0,0.0,80,37,46,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-01,,,0.00,0.0,0.0,86,46,71,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-02,,,0.02,0.0,0.0,88,53,53,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-03,,,0.00,0.0,0.0,73,53,56,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-04,,,0.00,0.0,0.0,63,51,54,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-05,,,0.00,0.0,0.0,70,38,38,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-06,,,0.00,0.0,0.0,69,34,41,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-07,,,0.00,0.0,0.0,72,35,51,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-08,,,0.00,0.0,0.0,75,35,51,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-09,,,0.00,0.0,0.0,78,44,58,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-10,,,0.00,0.0,0.0,91,34,54,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-11,,,0.00,0.0,0.0,84,54,66,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-12,,,0.12,0.0,0.0,82,65,69,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-13,,,0.19,0.0,0.0,85,49,51,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-14,,,0.00,0.0,0.0,85,48,51,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-15,,,0.00,0.0,0.0,59,49,51,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-16,,,0.00,0.0,0.0,66,47,51,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-17,,,0.00,0.0,0.0,72,42,51,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-18,,,0.00,0.0,0.0,80,44,46,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-19,,,0.00,0.0,0.0,67,38,39,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-20,,,0.00,0.0,0.0,71,39,45,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-21,,,0.00,0.0,0.0,77,45,70,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-22,,,0.00,0.0,0.0,83,45,72,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-23,,,0.00,0.0,0.0,84,70,70,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-24,,,0.00,0.0,0.0,84,70,74,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-25,,,0.00,0.0,0.0,86,70,73,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-26,,,0.00,0.0,0.0,82,42,43,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-27,,,0.00,0.0,0.0,58,27,34,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-28,,,0.00,0.0,0.0,62,34,45,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-29,,,0.00,0.0,0.0,72,45,65,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-11-30,,,0.00,0.0,0.0,82,47,47,
